Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
5179,Supply Chain Management,Supply Chain Risk Management,4hrs 11min,12th,English/Hindi,Module 1: Understanding ICT Supply Chain Threats,Impact Analysis and Mitigation of ICT Supply Chain Threats,https://www.youtube.com/watch?v=3MJBYrQA1tg
5180,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 1: Impact Analysis and Mitigation of ICT Supply Chain Threats,Understanding Supply Chain Threats,https://www.youtube.com/watch?v=pq40KJVOoJg
5181,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 1: Mitigating Supply Chain Threats,Supply Chain Essentials,https://www.youtube.com/watch?v=XMuIG7s1DE0
5182,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 1: Supply Chain Essentials,Assessing ICT Trustworthiness - Supply Chain Integrity Month,https://www.youtube.com/watch?v=IOnO4tsL2fE
5183,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 2: Assessing ICT Trustworthiness,Building Collective Supply Chain Resilience,https://www.youtube.com/watch?v=ZrzrvvGOpdE
5184,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 2: Evaluating Vendor and Supplier Trustworthiness,ICT Supply Chain: Lessons Learned During the COVID-19 Pandemic,https://www.youtube.com/watch?v=07-WWpqPWcM
5185,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 2: Assessing ICT Trustworthiness - Supply Chain Integrity Month,Evaluating Vendor and Supplier Trustworthiness,https://www.youtube.com/watch?v=bf_M_47BNkw
5186,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 2: ICT Supply Chain Risk Management Task Force,Securing Small and Medium-Sized Business Supply Chains: A Resource Handbook to Reduce ICT Risks,https://www.youtube.com/watch?v=VwmCCUrw5k0
5187,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 3: Building Collective Supply Chain Resilience,ICT Supply Chain Risk Management Task Force,https://www.youtube.com/watch?v=FTEVs6dDkxs
5188,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 3: ICT Supply Chain: Lessons Learned During the COVID-19 Pandemic,Assessing ICT Trustworthiness,https://www.youtube.com/watch?v=Bj10qYmc-hY
5189,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 3: Supply Chain Essentials,Mitigating Supply Chain Threats,https://www.youtube.com/watch?v=H6MgOr_8NDE
5190,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 4: Securing Small and Medium-Sized Business Supply Chains: A Resource Handbook to Reduce ICT Risks,Supply Chain Essentials,https://www.youtube.com/watch?v=qvFfoHxfBqY
5191,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 4: CISA Webinar: Securing Small and Medium-Sized Business Supply Chains,CISA Webinar: Securing and Enhancing the ICT Supply Chain,https://www.youtube.com/watch?v=u9xhHZDhZAk
5192,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 5: CISA Webinar: Securing and Enhancing the ICT Supply Chain,CISA Webinar: Securing Small and Medium-Sized Business Supply Chains,https://www.youtube.com/watch?v=lyb5MIYLAME
5193,Supply Chain Management,Supply Chain Risk Management,,12th,English/Hindi,Module 5: CISA's Information and Communications Technology - Supply Chain Risk Management Webinar with ASL,CISA's Information and Communications Technology - Supply Chain Risk Management Webinar with ASL,https://www.youtube.com/watch?v=qGecnDcaePQ
