"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
4880,"Human Resource Management","Conflict Resolution","13hrs 5min","12th","English/Hindi","Module 1: Introduction to Conflict","MGMT 313: Mean girls clips Problem Solving & Creativity","https://www.youtube.com/watch?v=DkzG0TwS1vw"
4881,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 1: Introduction to Conflict","Everybody Loves Raymond Uses Active Listening - from Parent Effectiveness Training","https://www.youtube.com/watch?v=4VOubVB4CTU"
4882,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 1: Introduction to Conflict","Conflict management sample clip Hunger Games","https://www.youtube.com/watch?v=uATmPPnUuVE"
4883,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 1: Introduction to Conflict","Conflict management sample clip Despicable Me","https://www.youtube.com/watch?v=EPQjUJFVFC4"
4884,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 2: Understanding Conflict Styles","The Sum of All Fears (1/9) Movie CLIP - Everyone Has Opinions (2002) HD","https://www.youtube.com/watch?v=8GPu-oZ4p64"
4885,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 2: Understanding Conflict Styles","Conflict Resolution - The Waterboy","https://www.youtube.com/watch?v=_ZpDnXYIFjo"
4886,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 2: Understanding Conflict Styles","The Break-Up (8/10) Movie CLIP - Mediation (2006) HD","https://www.youtube.com/watch?v=yiZpb7GPLYs"
4887,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 3: Communication and Conflict","Conflict Resolution","https://www.youtube.com/watch?v=KY5TWVz5ZDU"
4888,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 3: Communication and Conflict","How To Deal With Conflict","https://www.youtube.com/watch?v=QLbGHQo4qnA"
4889,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 3: Communication and Conflict","How I Met Your Mother -- Where Will The TV Go?","https://www.youtube.com/watch?v=ewD7nAYntOo"
4890,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 4: Negotiation and Mediation","Billy Madison (2/9) Movie CLIP - Billy Mocks a Third Grader (1995) HD","https://www.youtube.com/watch?v=KIAzalQUui4"
4891,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 4: Negotiation and Mediation","Billy Madison (3/9) Movie CLIP - Billy Has a Cursive Problem (1995) HD","https://www.youtube.com/watch?v=o7WSgC9oGic"
4892,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 4: Negotiation and Mediation","What a Girl Wants (2/9) Movie CLIP - I'm Your Daughter (2003) HD","https://www.youtube.com/watch?v=y6i9UH65q2g"
4893,"Human Resource Management","Conflict Resolution","","12th","English/Hindi","Module 4: Negotiation and Mediation","Most Explosive Couple Fights! | 90 Day Fiancé","https://www.youtube.com/watch?v=cx9OjiG-y5Y"
