Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
6025,Information Systems,Information Systems Fundamentals,27hrs 0min,12th,English/Hindi,Module 1: Introduction to Information Systems & Types,Introduction to Information Systems,https://www.youtube.com/watch?v=g8059-8QDNk
6026,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 1: Michael Porter's Value Chain & Five Forces Model,"Types of Information Systems (TPS, MIS, and DSS)",https://www.youtube.com/watch?v=nQ4Q3iN7TMM
6027,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,"Module 2: Enterprise Wide Systems - CRM, ERP and SCM",Michael Porter's Value Chain Model & Five-Forces Model,https://www.youtube.com/watch?v=A2dTPbLomTA
6028,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 2: Threats to Information Systems,"Enterprise Wide Systems - CRM, ERP and SCM (Business Information Systems)",https://www.youtube.com/watch?v=FZbG0EF0rW8
6029,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 3: Basic Kinds of Management Information System Reports,Threats to Information Systems (Unintentional and Deliberate Threats),https://www.youtube.com/watch?v=vyyOBNsGOTc
6030,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 3: Types of Business Analytics,Basic Kinds of Management Information System (MIS) Reports,https://www.youtube.com/watch?v=kXT7eMlrvfo
6031,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 4: Uses of Business Analytics in the Aviation Industry,"Types of Business Analytics (Descriptive, Predictive, and Prescriptive)",https://www.youtube.com/watch?v=bajBth_C4w4
6032,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 4: Software Development Models,Uses of Business Analytics in the Aviation Industry,https://www.youtube.com/watch?v=23hEeaoISNY
6033,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 5: Project Management for Beginners,"Software Development Models (Waterfall, Agile Scrum, Agile Kanban)",https://www.youtube.com/watch?v=glwadLsKjhQ
6034,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 5: Elements of Knowledge Management,Project Management for Beginners (A Guide to the Project Management Body of Knowledge),https://www.youtube.com/watch?v=bXgo8X_1Xpk
6035,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 6: Types of Software Maintenance,Elements of Knowledge Management,https://www.youtube.com/watch?v=oWZAJMxh298
6036,Information Systems,Information Systems Fundamentals,,12th,English/Hindi,Module 6: Revision & Case Studies,"Types of Software Maintenance (Corrective, Adaptive, Perfective, and Preventive)",https://www.youtube.com/watch?v=_8aNZZaaoSQ
